Frequency (Hz)	Level (dB)
2648.583984	-41.283703
2670.117188	-41.391117
2691.650391	-42.212620
2713.183594	-42.724747
2734.716797	-42.759422
2756.250000	-41.822746
2777.783203	-41.578999
2799.316406	-43.176205
2820.849609	-43.753098
2842.382812	-42.589401
2863.916016	-42.409290
2885.449219	-41.977364
2906.982422	-41.361843
2928.515625	-41.432877
2950.048828	-41.775631
2971.582031	-42.576748
2993.115234	-42.529938
3014.648438	-42.900005
3036.181641	-43.433350
3057.714844	-43.090736
3079.248047	-41.950336
3100.781250	-42.363415
3122.314453	-42.240044
3143.847656	-43.280685
3165.380859	-43.118233
3186.914062	-43.787708
3208.447266	-43.449127
3229.980469	-43.211853
3251.513672	-42.370922
3273.046875	-42.424023
3294.580078	-43.107910
3316.113281	-43.170712
3337.646484	-42.576645
3359.179688	-43.085361
3380.712891	-43.253662
3402.246094	-43.629501
3423.779297	-43.712639
3445.312500	-43.992661
3466.845703	-43.598148
3488.378906	-43.814648
3509.912109	-43.549397
3531.445312	-43.277813
3552.978516	-43.315666
3574.511719	-44.436306
3596.044922	-44.308380
3617.578125	-43.919788
3639.111328	-44.130672
3660.644531	-42.855366
3682.177734	-42.865356
3703.710938	-43.639400
3725.244141	-43.807884
3746.777344	-44.173977
3768.310547	-43.602287
3789.843750	-44.814438
3811.376953	-44.396175
3832.910156	-43.739784
3854.443359	-44.662735
3875.976562	-43.214298
3897.509766	-43.520477
3919.042969	-44.143066
3940.576172	-44.239777
3962.109375	-42.724957
3983.642578	-42.778378
4005.175781	-42.782799
4026.708984	-44.076172
4048.242188	-44.757534
4069.775391	-44.529987
4091.308594	-42.976608
4112.841797	-44.208424
4134.375000	-44.526844
4155.908203	-44.308369
4177.441406	-44.429604
4198.974609	-44.843254
4220.507812	-43.496929
4242.041016	-43.766369
4263.574219	-45.365368
4285.107422	-44.277328
4306.640625	-44.535629
4328.173828	-43.457863
4349.707031	-44.361248
4371.240234	-45.430809
4392.773438	-45.009724
4414.306641	-43.332581
4435.839844	-44.657837
4457.373047	-46.022202
4478.906250	-44.594048
4500.439453	-44.408924
4521.972656	-45.830273
4543.505859	-45.890079
4565.039062	-45.475075
4586.572266	-44.359806
4608.105469	-44.823265
4629.638672	-45.329861
4651.171875	-47.389164
4672.705078	-46.805244
4694.238281	-45.802578
4715.771484	-44.589832
4737.304688	-44.149548
4758.837891	-45.323284
4780.371094	-44.556496
4801.904297	-45.110111
4823.437500	-45.540668
4844.970703	-44.757774
4866.503906	-45.602512
4888.037109	-45.624805
4909.570312	-47.256992
4931.103516	-45.763626
4952.636719	-44.783752
4974.169922	-44.293724
4995.703125	-44.198093
5017.236328	-44.585743
5038.769531	-44.782829
5060.302734	-44.973949
5081.835938	-44.956196
5103.369141	-46.202316
5124.902344	-46.115673
5146.435547	-44.907379
5167.968750	-43.903671
5189.501953	-46.595066
5211.035156	-46.215420
5232.568359	-45.956570
5254.101562	-45.452572
5275.634766	-45.143318
5297.167969	-44.999283
5318.701172	-44.339077
5340.234375	-45.101788
5361.767578	-45.337971
5383.300781	-46.469814
5404.833984	-45.916481
5426.367188	-45.135525
5447.900391	-45.185055
5469.433594	-44.921734
5490.966797	-44.654598
5512.500000	-45.219479
5534.033203	-44.953773
5555.566406	-46.067932
5577.099609	-46.477303
5598.632812	-45.198006
5620.166016	-45.266083
5641.699219	-45.512722
5663.232422	-45.228333
5684.765625	-46.411434
5706.298828	-44.757988
5727.832031	-45.677944
5749.365234	-45.917866
5770.898438	-44.832077
5792.431641	-45.183468
5813.964844	-44.815933
5835.498047	-45.375015
5857.031250	-45.423679
5878.564453	-47.080956
5900.097656	-46.470497
5921.630859	-44.971355
5943.164062	-45.388592
5964.697266	-46.892769
5986.230469	-47.492317
6007.763672	-46.537724
6029.296875	-46.086487
6050.830078	-46.914745
6072.363281	-46.543789
6093.896484	-45.806797
6115.429688	-46.303146
6136.962891	-45.511616
6158.496094	-46.104374
6180.029297	-45.962898
6201.562500	-44.946796
6223.095703	-45.012573
6244.628906	-46.138393
6266.162109	-45.540405
6287.695312	-46.003811
6309.228516	-46.666977
6330.761719	-45.965401
6352.294922	-46.253288
6373.828125	-46.005325
6395.361328	-44.906281
6416.894531	-45.190750
6438.427734	-46.769314
6459.960938	-47.050488
6481.494141	-46.262703
6503.027344	-46.302723
6524.560547	-46.894962
6546.093750	-45.577686
6567.626953	-45.490974
6589.160156	-46.201511
6610.693359	-46.642643
6632.226562	-46.347980
6653.759766	-46.133682
6675.292969	-46.205441
6696.826172	-47.297962
6718.359375	-47.339497
6739.892578	-47.743088
6761.425781	-46.538345
6782.958984	-46.193676
6804.492188	-46.264927
6826.025391	-45.804554
6847.558594	-46.588493
6869.091797	-46.564583
6890.625000	-47.136555
6912.158203	-46.780670
6933.691406	-46.936466
6955.224609	-47.160072
6976.757812	-46.878632
6998.291016	-46.896729
7019.824219	-45.909794
7041.357422	-45.721745
7062.890625	-46.551273
7084.423828	-45.389561
7105.957031	-45.850170
7127.490234	-47.115360
7149.023438	-47.583122
7170.556641	-46.193584
7192.089844	-46.479782
7213.623047	-46.925369
7235.156250	-45.993393
7256.689453	-45.405666
7278.222656	-47.875046
7299.755859	-47.814034
7321.289062	-46.242630
7342.822266	-46.743263
